date,time,plot,tag_number,treatment,depth,percent_zostera,percent_halodule,z_shoot_density,h_shoot_density,percent_macroalgae,z_height_1,z_height_2,z_height_3,z_height_4,z_height_5,h_height_1,h_height_2,h_height_3,h_height_4,h_height_5,death,comments
29May2026,14:40,15,73,4,32,45,45,7,54,0,15.6,17.4,16.8,18.6,18.9,15.5,15.3,18.7,18.5,16.8,,
29May2026,16:15,16,87,0,49,80,80,3,68,0,15.7,17.3,20.4,NA,NA,15.4,16.5,18.3,15.2,13.5,,
29May2026,14:51,17,95,2,31,40,40,22,36,0,20,18.2,19.9,23.5,19.6,10.4,10.4,21.7,14.4,14.3,,
29May2026,16:24,18,78,0,49,40,40,14,40,0,18.4,19.8,26.9,15.3,17.4,16.3,13.4,13.4,16.6,17.3,,
29May2026,14:57,19,88,1,31,5,75,1,75,0,17.7,NA,NA,NA,NA,14.5,13.3,12.9,13,15.8,,
29May2026,16:27,20,66,0,49,30,50,6,78,0,17,16.1,11,16.6,14.5,14.3,21.2,12,21.2,15.8,,
29May2026,15:12,21,74,4,30,5,70,1,62,0,14.9,NA,NA,NA,NA,10.6,12,13.5,12.7,14.6,,
29May2026,16:33,22,86,0,51,10,50,2,57,0,20.2,16.8,NA,NA,NA,12.9,16,14.6,15,14.1,,
29May2026,15:07,23,96,1,31,20,65,4,53,0,19.8,16.7,18.5,16.5,NA,18.6,14,14.4,16.5,13.8,,
29May2026,15:00,24,76,4,31,30,40,9,55,0,21.4,21.5,20.5,20.7,22.3,17.6,14.6,10.4,17.2,13.5,,
29May2026,16:38,25,80,0,50,40,60,11,47,0,20.3,17.1,23,16.9,21.8,18.1,16,16.9,17.8,12.1,,
29May2026,15:16,26,81,1,32,15,65,7,34,0,18.7,17.8,21.7,16.3,12.5,12.7,11.6,11.2,12.1,13.7,,
29May2026,15:20,27,98,4,34,5,80,4,103,0,15.7,17.6,16.7,11.4,NA,16,14.4,11.2,15.4,12.1,,
29May2026,15:25,28,65,4,33,10,60,6,57,0,20.4,20.8,16.3,17.4,21.5,14,20.2,13.1,15.6,20.3,,
29May2026,15:48,29,99,2,39,20,65,6,62,0,21,13.4,14.3,15.8,14.7,18.5,20.6,15.8,15,15.6,,
29May2026,15:42,30,85,4,34,30,50,7,84,0,20.3,17.4,17,13.1,12,11.5,12,14.5,12.3,16.1,,
29May2026,15:36,31,90,1,34,15,70,7,62,0,17,17.4,16.9,15.4,17.2,14.6,14.9,13.9,13.8,14,,
29May2026,15:30,32,71,1,32,25,65,10,64,0,19.7,18.6,20.5,14,19.5,15.2,12.4,12.4,17.9,13.7,,
10June2026,10:45,1,70,1,30,20,60,7,69,0,13.4,17.9,12.2,14.1,12.6,14.2,13.3,13.6,14.8,15.8,,
10June2026,10:53,2,91,2,29,5,70,2,87,0,13.5,11.1,NA,NA,NA,18.2,16.8,11.2,13.7,15,,
10June2026,11:00,3,92,0,30,20,80,7,116,15,21,12.3,14.7,19.8,15.2,21.5,17,17.6,16.8,13.7,,
10June2026,11:01,9,69,4,29,10,90,8,39,0,13.6,17.4,13.1,7.5,9.2,14.2,15.7,15.7,17.3,16.9,,
10June2026,11:08,4,79,2,29,10,40,5,72,0,14.4,9.7,22.4,11,13.2,16.4,10.9,14.6,9.9,18.1,,
10June2026,11:09,16,87,0,29,5,95,7,117,0,17.8,17.4,20.4,15.9,19.1,20.1,20.9,19.3,21.2,21.9,,
10June2026,11:15,5,65,2,27.5,0,60,0,74,0,NA,NA,NA,NA,NA,18.2,11.9,16.8,12,14,,
10June2026,11:19,6,72,4,30,0,50,0,53,0,NA,NA,NA,NA,NA,12.9,8.8,13.7,9.4,11.7,,
10June2026,11:18,17,95,2,27.8,3,50,3,53,0,18.1,11.3,13.4,NA,NA,18.3,17.1,12.2,18.6,19.8,,
10June2026,11:27,7,83,0,28,10,70,3,156,0,17,18.8,14.1,NA,NA,21.9,18.7,17.2,19.8,19.7,,
10June2026,11:41,10,94,4,28,0,50,0,59,0,NA,NA,NA,NA,NA,15.6,13.1,11.5,10.2,10.8,,
10June2026,11:41,8,77,2,30,10,40,7,54,0,15.4,12.2,15.6,12.6,15.7,14.1,17,15.1,15.8,14.9,,
10June2026,11:46,11,82,1,30,20,70,8,106,0,20.4,15.9,18.8,16.9,16.9,17.2,15,15.7,17,15.8,,
10June2026,11:49,24,76,4,29,5,70,8,59,0,14.9,8.7,12.1,13.2,7.8,17.9,20.1,16.2,18.1,11.6,,
10June2026,11:55,12,67,1,31,60,30,30,42,0,23.8,21.5,14.1,23.4,14.7,13,18.5,21.7,16.8,21.4,,
10June2026,12:00,25,80,0,30,10,90,12,168,0,17.1,19.8,20.3,21.6,17.3,23.7,27.2,19.8,17.5,23.6,,
10June2026,12:05,13,97,0,33,50,50,24,57,0,16.6,17.8,18.5,20,15.8,18.6,15.2,10.9,21.4,18.5,,
10June2026,12:12,32,71,1,31,5,75,7,104,0,16,12.1,8.4,10.1,9.5,16.3,13.1,16.2,14.4,14.7,,
10June2026,12:14,14,68,2,35,5,50,2,86,0,10.4,14.9,NA,NA,NA,15.6,18,11.9,8.6,9.8,,
10June2026,12:21,15,73,4,36,10,40,7,74,0,9.9,14,7.9,9.4,7.8,9.9,11.7,8.7,10,11.2,,
10June2026,12:22,31,90,1,34,20,60,13,99,0,17.3,14.8,14.3,22.2,20.2,14.1,16.9,18.4,17.2,15.5,,
10June2026,12:28,18,78,0,37,40,60,23,89,0,19.8,20,18.7,14.8,24,17.9,18.5,18.5,20,19.1,,
10June2026,12:35,30,85,4,35,3,50,4,49,0,9.6,11.1,8.9,9.1,NA,11.8,13.9,12.6,11.5,12.4,,
10June2026,12:36,19,88,1,38,0,80,0,167,0,NA,NA,NA,NA,NA,18.7,18.2,15.5,19.6,11.2,,
10June2026,12:42,20,66,0,39,50,50,13,122,0,15.8,16.6,12.7,16.8,13.7,13.9,17.4,21,15.2,16.8,,
10June2026,12:43,29,99,2,40.5,15,75,14,62,0,16.1,13.8,14.2,11.8,12.7,17.3,16.7,18.1,19.2,18.9,1,
10June2026,12:51,21,74,4,42,5,35,3,82,0,11.4,10.8,10,NA,NA,9.4,18,11.3,13.4,11.6,,
10June2026,12:58,28,65,4,40,5,60,5,86,0,15.1,17.6,18,17.1,13.2,21,18.5,19.1,17.9,16.1,,
10June2026,12:56,22,86,0,44,0,100,0,199,0,NA,NA,NA,NA,NA,18.6,14.5,21.1,19.2,18.9,,
10June2026,13:03,23,96,1,44,30,40,10,152,0,17.8,19.6,16.4,20.5,18.5,15.5,13.9,15.2,14.7,16.1,,
10June2026,13:12,26,81,1,46,10,60,5,124,0,15.2,10.9,12.6,13.2,7.7,13.2,16.9,13.6,14.7,14.1,,
10June2026,13:08,27,98,4,45,2,60,2,51,0,10.1,12.1,NA,NA,NA,15.6,17,18.1,16.8,17.5,,
